domain	v16	relu_v19	gelu_v19	relu_delta	gelu_delta
┌────────────────┬─────────┬──────────┬──────────┬────────────┬────────────┐
│     domain     │   v16   │ relu_v19 │ gelu_v19 │ relu_delta │ gelu_delta │
│    varchar     │ varchar │ varchar  │ varchar  │   int128   │   int128   │
├────────────────┼─────────┼──────────┼──────────┼────────────┼────────────┤
│ NULL           │ 15/23   │ 14       │ 11       │         -1 │         -4 │
│ container      │ 2/10    │ 3        │ 1        │          1 │         -1 │
│ datetime       │ 90/107  │ 89       │ 70       │         -1 │        -20 │
│ finance        │ 37/40   │ 35       │ 33       │         -2 │         -4 │
│ geography      │ 52/58   │ 51       │ 52       │         -1 │          0 │
│ identity       │ 44/47   │ 45       │ 39       │          1 │         -5 │
│ representation │ 95/121  │ 91       │ 92       │         -4 │         -3 │
│ technology     │ 36/42   │ 37       │ 29       │          1 │         -7 │
└────────────────┴─────────┴──────────┴──────────┴────────────┴────────────┘
