identity.person.weight	1200
representation.boolean.binary	1200
representation.boolean.initials	1200
representation.boolean.terms	1200
representation.discrete.ordinal	1200
representation.file.excel_format	1200
representation.file.extension	1200
representation.file.file_size	1200
representation.file.mime_type	1200
representation.format.color_hex	1200
representation.format.color_hsl	1200
representation.format.color_rgb	1200
representation.identifier.alphanumeric_id	1200
representation.identifier.increment	1200
representation.identifier.numeric_code	1200
representation.identifier.uuid	1200
representation.numeric.decimal_number	1200
representation.numeric.decimal_number_comma	1200
representation.numeric.integer_number	1200
representation.numeric.percentage	1200
representation.numeric.scientific_notation	1200
representation.numeric.si_number	1200
representation.scientific.cas_number	1200
representation.scientific.dna_sequence	1200
representation.scientific.measurement_unit	1200
representation.scientific.protein_sequence	1200
representation.scientific.rna_sequence	1200
representation.scientific.smiles	784
representation.text.emoji	1200
representation.text.entity_name	1200
representation.text.plain_text	1200
representation.text.word	1200
technology.cloud.aws_arn	751
technology.cloud.s3_uri	1200
technology.code.doi	1200
technology.code.imei	1200
technology.code.locale_code	1200
technology.code.qualified_name	1200
technology.cryptographic.hash	1200
technology.cryptographic.jwt	1200
technology.cryptographic.token_urlsafe	1200
technology.development.calver	1200
technology.development.docker_ref	1200
technology.development.version	1200
technology.filesystem.windows_path	1200
technology.identifier.snowflake_id	1200
technology.identifier.tsid	1200
technology.identifier.ulid	1200
technology.internet.cidr	1200
technology.internet.data_uri	1200
technology.internet.hostname	1200
technology.internet.http_method	1200
technology.internet.ip_v4	1200
technology.internet.ip_v4_with_port	1200
technology.internet.ip_v6	1200
technology.internet.mac_address	1200
technology.internet.message_id	1200
technology.internet.top_level_domain	1200
technology.internet.url	1200
technology.internet.urn	1200
technology.internet.user_agent	1200
