locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
blo	wide	ɩjikawǝrka kaŋɔrɔ	ɩjikpaka kaŋɔrɔ	arɛ́cika kaŋɔrɔ	njɩbɔ nɖʊka kaŋɔrɔ	acafʊnɖuka kaŋɔrɔ	anɔɔɖuka kaŋɔrɔ	alàlaka kaŋɔrɔ	ɩjikǝuka kaŋɔrɔ	abofʊmka kaŋɔrɔ	ɩjicimka kaŋɔrɔ	acapomka kaŋɔrɔ	anɔɔbʊnka kaŋɔrɔ
blo	abbreviated	kaw	kpa	ci	ɖʊ	ɖu5	ɖu6	la	kǝu	fʊm	cim	pom	bʊn
blt	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
blt	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bm	wide	zanwuye	feburuye	marisi	awirili	mɛ	zuwɛn	zuluye	uti	sɛtanburu	ɔkutɔburu	nowanburu	desanburu
bm	abbreviated	zan	feb	mar	awi	mɛ	zuw	zul	uti	sɛt	ɔku	now	des
bm-Nkoo	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bm-Nkoo	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bn	wide	জানুয়ারী	ফেব্রুয়ারী	মার্চ	এপ্রিল	মে	জুন	জুলাই	আগস্ট	সেপ্টেম্বর	অক্টোবর	নভেম্বর	ডিসেম্বর
bn	abbreviated	জানু	ফেব	মার্চ	এপ্রি	মে	জুন	জুল	আগ	সেপ	অক্টো	নভে	ডিসে
bn-IN	wide	জানুয়ারী	ফেব্রুয়ারী	মার্চ	এপ্রিল	মে	জুন	জুলাই	আগস্ট	সেপ্টেম্বর	অক্টোবর	নভেম্বর	ডিসেম্বর
bn-IN	abbreviated	জানু	ফেব	মার্চ	এপ্রি	মে	জুন	জুল	আগ	সেপ্টেঃ	অক্টোঃ	নভেঃ	ডিসেঃ
bo	wide	ཟླ་བ་དང་པོ	ཟླ་བ་གཉིས་པ	ཟླ་བ་གསུམ་པ	ཟླ་བ་བཞི་པ	ཟླ་བ་ལྔ་པ	ཟླ་བ་དྲུག་པ	ཟླ་བ་བདུན་པ	ཟླ་བ་བརྒྱད་པ	ཟླ་བ་དགུ་པ	ཟླ་བ་བཅུ་པ	ཟླ་བ་བཅུ་གཅིག་པ	ཟླ་བ་བཅུ་གཉིས་པ
bo	abbreviated	ཟླ་༡	ཟླ་༢	ཟླ་༣	ཟླ་༤	ཟླ་༥	ཟླ་༦	ཟླ་༧	ཟླ་༨	ཟླ་༩	ཟླ་༡༠	ཟླ་༡༡	ཟླ་༡༢
bo-IN	wide	ཟླ་བ་དང་པོ	ཟླ་བ་གཉིས་པ	ཟླ་བ་གསུམ་པ	ཟླ་བ་བཞི་པ	ཟླ་བ་ལྔ་པ	ཟླ་བ་དྲུག་པ	ཟླ་བ་བདུན་པ	ཟླ་བ་བརྒྱད་པ	ཟླ་བ་དགུ་པ	ཟླ་བ་བཅུ་པ	ཟླ་བ་བཅུ་གཅིག་པ	ཟླ་བ་བཅུ་གཉིས་པ
bo-IN	abbreviated	ཟླ་༡	ཟླ་༢	ཟླ་༣	ཟླ་༤	ཟླ་༥	ཟླ་༦	ཟླ་༧	ཟླ་༨	ཟླ་༩	ཟླ་༡༠	ཟླ་༡༡	ཟླ་༡༢
br	wide	Genver	Cʼhwevrer	Meurzh	Ebrel	Mae	Mezheven	Gouere	Eost	Gwengolo	Here	Du	Kerzu
br	abbreviated	Gen.	Cʼhwe.	Meur.	Ebr.	Mae	Mezh.	Goue.	Eost	Gwen.	Here	Du	Kzu.
brx	wide	जानुवारी	फेब्रूवारी	मार्च	एप्रिल	मे	जुन	जुलाई	आगष्ट	सेप्थेम्बर	अक्ट’बर	नवेम्बर	डिसेम्बर
brx	abbreviated	जान	फेब	मार्च	एप्रि	मे	जुन	जुल	आग	सेप	अक्ट’	नवे	डिसे
bs	wide	januar	februar	mart	april	maj	juni	juli	august	septembar	oktobar	novembar	decembar
bs	abbreviated	jan	feb	mar	apr	maj	jun	jul	aug	sep	okt	nov	dec
bs-Cyrl	wide	јануар	фебруар	март	април	мај	јуни	јули	аугуст	септембар	октобар	новембар	децембар
bs-Cyrl	abbreviated	јан	феб	мар	апр	мај	јун	јул	ауг	сеп	окт	нов	дец
bs-Latn	wide	januar	februar	mart	april	maj	juni	juli	august	septembar	oktobar	novembar	decembar
bs-Latn	abbreviated	jan	feb	mar	apr	maj	jun	jul	aug	sep	okt	nov	dec
bss	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
bss	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
byn	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
byn	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ca	wide	de gener	de febrer	de març	d’abril	de maig	de juny	de juliol	d’agost	de setembre	d’octubre	de novembre	de desembre
ca	abbreviated	de gen.	de febr.	de març	d’abr.	de maig	de juny	de jul.	d’ag.	de set.	d’oct.	de nov.	de des.
ca-AD	wide	de gener	de febrer	de març	d’abril	de maig	de juny	de juliol	d’agost	de setembre	d’octubre	de novembre	de desembre
ca-AD	abbreviated	de gen.	de febr.	de març	d’abr.	de maig	de juny	de jul.	d’ag.	de set.	d’oct.	de nov.	de des.
ca-ES-valencia	wide	de gener	de febrer	de març	d’abril	de maig	de juny	de juliol	d’agost	de setembre	d’octubre	de novembre	de desembre
ca-ES-valencia	abbreviated	de gen.	de febr.	de març	d’abr.	de maig	de juny	de jul.	d’ag.	de set.	d’oct.	de nov.	de des.
ca-FR	wide	de gener	de febrer	de març	d’abril	de maig	de juny	de juliol	d’agost	de setembre	d’octubre	de novembre	de desembre
ca-FR	abbreviated	de gen.	de febr.	de març	d’abr.	de maig	de juny	de jul.	d’ag.	de set.	d’oct.	de nov.	de des.
ca-IT	wide	de gener	de febrer	de març	d’abril	de maig	de juny	de juliol	d’agost	de setembre	d’octubre	de novembre	de desembre
ca-IT	abbreviated	de gen.	de febr.	de març	d’abr.	de maig	de juny	de jul.	d’ag.	de set.	d’oct.	de nov.	de des.
cad	wide	Cháykáhday Haˀimay	Tsahkápbiˀ	Wánit	Háshnihtiˀtiˀ	Háshnih Haˀimay	Háshnihtsiˀ	Násˀahˀatsus	Dahósikah nish	Híisikah nish	Nípbaatiˀtiˀ	Nípbaa Haˀimay	Cháykáhdaytiˀtiˀ
cad	abbreviated	Cháykáhday Haˀimay	Tsahkápbiˀ	Wánit	Háshnihtiˀtiˀ	Háshnih Haˀimay	Háshnihtsiˀ	Násˀahˀatsus	Dahósikah nish	Híisikah nish	Nípbaatiˀtiˀ	Nípbaa Haˀimay	Cháykáhdaytiˀtiˀ
cch	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
cch	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ccp	wide	𑄎𑄚𑄪𑄠𑄢𑄨	𑄜𑄬𑄛𑄴𑄝𑄳𑄢𑄪𑄠𑄢𑄨	𑄟𑄢𑄴𑄌𑄧	𑄃𑄬𑄛𑄳𑄢𑄨𑄣𑄴	𑄟𑄬	𑄎𑄪𑄚𑄴	𑄎𑄪𑄣𑄭	𑄃𑄉𑄧𑄌𑄴𑄑𑄴	𑄥𑄬𑄛𑄴𑄑𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄃𑄧𑄇𑄴𑄑𑄬𑄝𑄧𑄢𑄴	𑄚𑄧𑄞𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄓𑄨𑄥𑄬𑄟𑄴𑄝𑄧𑄢𑄴
ccp	abbreviated	𑄎𑄚𑄪	𑄜𑄬𑄛𑄴	𑄟𑄢𑄴𑄌𑄧	𑄃𑄬𑄛𑄳𑄢𑄨𑄣𑄴	𑄟𑄬	𑄎𑄪𑄚𑄴	𑄎𑄪𑄣𑄭	𑄃𑄉𑄧𑄌𑄴𑄑𑄴	𑄥𑄬𑄛𑄴𑄑𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄃𑄧𑄇𑄴𑄑𑄮𑄝𑄧𑄢𑄴	𑄚𑄧𑄞𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄓𑄨𑄥𑄬𑄟𑄴𑄝𑄢𑄴
ccp-IN	wide	𑄎𑄚𑄪𑄠𑄢𑄨	𑄜𑄬𑄛𑄴𑄝𑄳𑄢𑄪𑄠𑄢𑄨	𑄟𑄢𑄴𑄌𑄧	𑄃𑄬𑄛𑄳𑄢𑄨𑄣𑄴	𑄟𑄬	𑄎𑄪𑄚𑄴	𑄎𑄪𑄣𑄭	𑄃𑄉𑄧𑄌𑄴𑄑𑄴	𑄥𑄬𑄛𑄴𑄑𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄃𑄧𑄇𑄴𑄑𑄬𑄝𑄧𑄢𑄴	𑄚𑄧𑄞𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄓𑄨𑄥𑄬𑄟𑄴𑄝𑄧𑄢𑄴
ccp-IN	abbreviated	𑄎𑄚𑄪	𑄜𑄬𑄛𑄴	𑄟𑄢𑄴𑄌𑄧	𑄃𑄬𑄛𑄳𑄢𑄨𑄣𑄴	𑄟𑄬	𑄎𑄪𑄚𑄴	𑄎𑄪𑄣𑄭	𑄃𑄉𑄧𑄌𑄴𑄑𑄴	𑄥𑄬𑄛𑄴𑄑𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄃𑄧𑄇𑄴𑄑𑄮𑄝𑄧𑄢𑄴	𑄚𑄧𑄞𑄬𑄟𑄴𑄝𑄧𑄢𑄴	𑄓𑄨𑄥𑄬𑄟𑄴𑄝𑄢𑄴
ce	wide	январь	февраль	март	апрель	май	июнь	июль	август	сентябрь	октябрь	ноябрь	декабрь
ce	abbreviated	янв	фев	мар	апр	май	июн	июл	авг	сен	окт	ноя	дек
ceb	wide	Enero	Pebrero	Marso	Abril	Mayo	Hunyo	Hulyo	Agosto	Septyembre	Oktubre	Nobyembre	Disyembre
ceb	abbreviated	Ene	Peb	Mar	Abr	May	Hun	Hul	Ago	Sep	Okt	Nob	Dis
cgg	wide	Okwokubanza	Okwakabiri	Okwakashatu	Okwakana	Okwakataana	Okwamukaaga	Okwamushanju	Okwamunaana	Okwamwenda	Okwaikumi	Okwaikumi na kumwe	Okwaikumi na ibiri
cgg	abbreviated	KBZ	KBR	KST	KKN	KTN	KMK	KMS	KMN	KMW	KKM	KNK	KNB
cho	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
cho	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
chr	wide	ᎤᏃᎸᏔᏅ	ᎧᎦᎵ	ᎠᏅᏱ	ᎧᏬᏂ	ᎠᏂᏍᎬᏘ	ᏕᎭᎷᏱ	ᎫᏰᏉᏂ	ᎦᎶᏂ	ᏚᎵᏍᏗ	ᏚᏂᏅᏗ	ᏅᏓᏕᏆ	ᎥᏍᎩᏱ
chr	abbreviated	ᎤᏃ	ᎧᎦ	ᎠᏅ	ᎧᏬ	ᎠᏂ	ᏕᎭ	ᎫᏰ	ᎦᎶ	ᏚᎵ	ᏚᏂ	ᏅᏓ	ᎥᏍ
cic	wide	Hashiʼ Ammoʼnaʼ	Hashiʼ Atokloʼ	Hashiʼ Atochchíʼnaʼ	Iiplal	Mih	Choon	Choola	Akaas	Siptimpaʼ	Aaktopaʼ	Nofimpaʼ	Tiisimpaʼ
cic	abbreviated	Hashiʼ Ammoʼnaʼ	Hashiʼ Atokloʼ	Hashiʼ Atochchíʼnaʼ	Iiplal	Mih	Choon	Choola	Akaas	Siptimpaʼ	Aaktopaʼ	Nofimpaʼ	Tiisimpaʼ
ckb	wide	کانوونی دووەم	شوبات	ئازار	نیسان	ئایار	حوزەیران	تەمووز	ئاب	ئەیلوول	تشرینی یەکەم	تشرینی دووەم	کانونی یەکەم
ckb	abbreviated	کانوونی دووەم	شوبات	ئازار	نیسان	ئایار	حوزەیران	تەمووز	ئاب	ئەیلوول	تشرینی یەکەم	تشرینی دووەم	کانونی یەکەم
ckb-IR	wide	کانوونی دووەم	شوبات	ئازار	نیسان	ئایار	حوزەیران	تەمووز	ئاب	ئەیلوول	تشرینی یەکەم	تشرینی دووەم	کانونی یەکەم
ckb-IR	abbreviated	کانوونی دووەم	شوبات	ئازار	نیسان	ئایار	حوزەیران	تەمووز	ئاب	ئەیلوول	تشرینی یەکەم	تشرینی دووەم	کانونی یەکەم
co	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
co	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
csw	wide	ᐅᒉᒥᑮᓯᑳᐏᐲᓯᒼ	ᐸᐚᐦᒐᑭᓇᓰᐢ	ᒥᑭᓯᐏᐲᓯᒼ	ᓂᐢᑭᐲᓯᒼ	ᐊᓃᑭᐲᓯᒼ	ᐚᐏᐲᓯᒼ	ᐹᐢᑲᐦᐋᐏᐲᓯᒼ	ᐅᐸᐦᐅᐏᐲᓯᒼ	ᓄᒌᑐᐏᐲᓯᒼ	ᐱᓈᐢᑯᐏᐲᓯᒼ	ᐋᕽᐘᑎᓄᐏᐲᓯᒼ	ᒪᑯᓭᑮᓭᑳᐏᐲᓯᒼ
csw	abbreviated	ᐅᒉᒥᑮᓯᑳᐏᐲᓯᒼ	ᐸᐚᐦᒐᑭᓇᓰᐢ	ᒥᑭᓯᐏᐲᓯᒼ	ᓂᐢᑭᐲᓯᒼ	ᐊᓃᑭᐲᓯᒼ	ᐚᐏᐲᓯᒼ	ᐹᐢᑲᐦᐋᐏᐲᓯᒼ	ᐅᐸᐦᐅᐏᐲᓯᒼ	ᓄᒌᑐᐏᐲᓯᒼ	ᐱᓈᐢᑯᐏᐲᓯᒼ	ᐋᕽᐘᑎᓄᐏᐲᓯᒼ	ᒪᑯᓭᑮᓭᑳᐏᐲᓯᒼ
cu	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
cu	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
cv	wide	кӑрлач	нарӑс	пуш	ака	ҫу	ҫӗртме	утӑ	ҫурла	авӑн	юпа	чӳк	раштав
cv	abbreviated	кӑр.	нар.	пуш	ака	ҫу	ҫӗр.	утӑ	ҫур.	авӑн	юпа	чӳк	раш.
cy	wide	Ionawr	Chwefror	Mawrth	Ebrill	Mai	Mehefin	Gorffennaf	Awst	Medi	Hydref	Tachwedd	Rhagfyr
cy	abbreviated	Ion	Chwef	Maw	Ebr	Mai	Meh	Gorff	Awst	Medi	Hyd	Tach	Rhag
da-GL	wide	januar	februar	marts	april	maj	juni	juli	august	september	oktober	november	december
da-GL	abbreviated	jan.	feb.	mar.	apr.	maj	jun.	jul.	aug.	sep.	okt.	nov.	dec.
dav	wide	Mori ghwa imbiri	Mori ghwa kawi	Mori ghwa kadadu	Mori ghwa kana	Mori ghwa kasanu	Mori ghwa karandadu	Mori ghwa mfungade	Mori ghwa wunyanya	Mori ghwa ikenda	Mori ghwa ikumi	Mori ghwa ikumi na imweri	Mori ghwa ikumi na iwi
dav	abbreviated	Imb	Kaw	Kad	Kan	Kas	Kar	Mfu	Wun	Ike	Iku	Imw	Iwi
de-BE	wide	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de-BE	abbreviated	Jan.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sept.	Okt.	Nov.	Dez.
de-IT	wide	Jänner	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de-IT	abbreviated	Jän.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sep.	Okt.	Nov.	Dez.
de-LI	wide	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de-LI	abbreviated	Jan.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sept.	Okt.	Nov.	Dez.
de-LU	wide	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de-LU	abbreviated	Jan.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sept.	Okt.	Nov.	Dez.
dje	wide	Žanwiye	Feewiriye	Marsi	Awiril	Me	Žuweŋ	Žuyye	Ut	Sektanbur	Oktoobur	Noowanbur	Deesanbur
dje	abbreviated	Žan	Fee	Mar	Awi	Me	Žuw	Žuy	Ut	Sek	Okt	Noo	Dee
doi	wide	जनवरी	फरवरी	मार्च	अप्रैल	मेई	जून	जुलाई	अगस्त	सितंबर	अक्तूबर	नवंबर	दिसंबर
doi	abbreviated	जन.	फर.	मार्च	अप्रैल	मेई	जून	जुलाई	अग.	सित.	अक्तू.	नव.	दिस.
dsb	wide	januara	februara	měrca	apryla	maja	junija	julija	awgusta	septembra	oktobra	nowembra	decembra
dsb	abbreviated	jan.	feb.	měr.	apr.	maj.	jun.	jul.	awg.	sep.	okt.	now.	dec.
dua	wide	dimɔ́di	ŋgɔndɛ	sɔŋɛ	diɓáɓá	emiasele	esɔpɛsɔpɛ	madiɓɛ́díɓɛ́	diŋgindi	nyɛtɛki	mayésɛ́	tiníní	eláŋgɛ́
dua	abbreviated	di	ŋgɔn	sɔŋ	diɓ	emi	esɔ	mad	diŋ	nyɛt	may	tin	elá
dv	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
dv	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
dyo	wide	Sanvie	Fébirie	Mars	Aburil	Mee	Sueŋ	Súuyee	Ut	Settembar	Oktobar	Novembar	Disambar
dyo	abbreviated	Sa	Fe	Ma	Ab	Me	Su	Sú	Ut	Se	Ok	No	De
dz	wide	ཟླ་དངཔ་	ཟླ་གཉིས་པ་	ཟླ་གསུམ་པ་	ཟླ་བཞི་པ་	ཟླ་ལྔ་པ་	ཟླ་དྲུག་པ	ཟླ་བདུན་པ་	ཟླ་བརྒྱད་པ་	ཟླ་དགུ་པ་	ཟླ་བཅུ་པ་	ཟླ་བཅུ་གཅིག་པ་	ཟླ་བཅུ་གཉིས་པ་
dz	abbreviated	༡	༢	༣	༤	༥	༦	༧	༨	༩	༡༠	༡༡	12
ebu	wide	Mweri wa mbere	Mweri wa kaĩri	Mweri wa kathatũ	Mweri wa kana	Mweri wa gatano	Mweri wa gatantatũ	Mweri wa mũgwanja	Mweri wa kanana	Mweri wa kenda	Mweri wa ikũmi	Mweri wa ikũmi na ũmwe	Mweri wa ikũmi na Kaĩrĩ
ebu	abbreviated	Mbe	Kai	Kat	Kan	Gat	Gan	Mug	Knn	Ken	Iku	Imw	Igi
ee	wide	dzove	dzodze	tedoxe	afɔfĩe	dame	masa	siamlɔm	deasiamime	anyɔnyɔ	kele	adeɛmekpɔxe	dzome
ee	abbreviated	dzv	dzd	ted	afɔ	dam	mas	sia	dea	any	kel	ade	dzm
ee-TG	wide	dzove	dzodze	tedoxe	afɔfĩe	dame	masa	siamlɔm	deasiamime	anyɔnyɔ	kele	adeɛmekpɔxe	dzome
ee-TG	abbreviated	dzv	dzd	ted	afɔ	dam	mas	sia	dea	any	kel	ade	dzm
el-CY	wide	Ιανουαρίου	Φεβρουαρίου	Μαρτίου	Απριλίου	Μαΐου	Ιουνίου	Ιουλίου	Αυγούστου	Σεπτεμβρίου	Οκτωβρίου	Νοεμβρίου	Δεκεμβρίου
el-CY	abbreviated	Ιαν	Φεβ	Μαρ	Απρ	Μαΐ	Ιουν	Ιουλ	Αυγ	Σεπ	Οκτ	Νοε	Δεκ
el-polyton	wide	Ιανουαρίου	Φεβρουαρίου	Μαρτίου	Απριλίου	Μαΐου	Ιουνίου	Ιουλίου	Αὐγούστου	Σεπτεμβρίου	Ὀκτωβρίου	Νοεμβρίου	Δεκεμβρίου
el-polyton	abbreviated	Ιαν	Φεβ	Μαρ	Απρ	Μαΐ	Ιουν	Ιουλ	Αὐγ	Σεπ	Ὀκτ	Νοε	Δεκ
en-001	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-001	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-150	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-150	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-AE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-AE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-AG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-AG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-AI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-AI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-AS	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-AS	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-AT	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-AT	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-BB	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BB	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-BE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-BI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-BM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-BS	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BS	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-BW	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BW	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-BZ	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-BZ	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-CC	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CC	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-CH	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CH	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-CK	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CK	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-CM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-CX	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CX	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-CY	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CY	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-DE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-DE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-DG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-DG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-DK	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-DK	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-DM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-DM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-Dsrt	wide	𐐖𐐰𐑌𐐷𐐭𐐯𐑉𐐨	𐐙𐐯𐐺𐑉𐐭𐐯𐑉𐐨	𐐣𐐪𐑉𐐽	𐐁𐐹𐑉𐐮𐑊	𐐣𐐩	𐐖𐐭𐑌	𐐖𐐭𐑊𐐴	𐐂𐑀𐐲𐑅𐐻	𐐝𐐯𐐹𐐻𐐯𐑋𐐺𐐲𐑉	𐐉𐐿𐐻𐐬𐐺𐐲𐑉	𐐤𐐬𐑂𐐯𐑋𐐺𐐲𐑉	𐐔𐐨𐑅𐐯𐑋𐐺𐐲𐑉
en-Dsrt	abbreviated	𐐖𐐰𐑌	𐐙𐐯𐐺	𐐣𐐪𐑉	𐐁𐐹𐑉	𐐣𐐩	𐐖𐐭𐑌	𐐖𐐭𐑊	𐐂𐑀	𐐝𐐯𐐹	𐐉𐐿𐐻	𐐤𐐬𐑂	𐐔𐐨𐑅
en-ER	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-ER	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-FI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-FI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-FJ	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-FJ	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-FK	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-FK	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-FM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-FM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-GD	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GD	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-GG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-GH	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GH	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-GI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-GM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-GU	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GU	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-GY	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GY	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-HK	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-HK	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-ID	wide	January	February	March	April	May	June	July	August	September	October	November	December
