locale	length	ldml_pattern	finetype_type	note
fr-BE	full	H 'h' mm 'min' ss 's' zzzz	datetime.time.hms_24h	24h with seconds
fr-CA	short	HH 'h' mm	datetime.time.hm_24h	24h without seconds
fr-CA	medium	HH 'h' mm 'min' ss 's'	datetime.time.hms_24h	24h with seconds
fr-CA	long	HH 'h' mm 'min' ss 's' z	datetime.time.hms_24h	24h with seconds
fr-CA	full	HH 'h' mm 'min' ss 's' zzzz	datetime.time.hms_24h	24h with seconds
fr-CH	short	HH:mm	datetime.time.hm_24h	24h without seconds
fr-CH	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
fr-CH	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
fr-CH	full	HH.mm:ss 'h' zzzz	datetime.time.hms_24h	24h with seconds
hr	short	HH:mm	datetime.time.hm_24h	24h without seconds
hr	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
hr	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
hr	full	HH:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
hu	short	H:mm	datetime.time.hm_24h	24h without seconds
hu	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
hu	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
hu	full	H:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
it	short	HH:mm	datetime.time.hm_24h	24h without seconds
it	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
it	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
it	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
it-CH	short	HH:mm	datetime.time.hm_24h	24h without seconds
it-CH	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
it-CH	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
it-CH	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
lt	short	HH:mm	datetime.time.hm_24h	24h without seconds
lt	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
lt	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
lt	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
lv	short	HH:mm	datetime.time.hm_24h	24h without seconds
lv	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
lv	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
lv	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
nb	short	HH:mm	datetime.time.hm_24h	24h without seconds
nb	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
nb	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
nb	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
nl	short	HH:mm	datetime.time.hm_24h	24h without seconds
nl	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
nl	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
nl	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
nl-BE	short	HH:mm	datetime.time.hm_24h	24h without seconds
nl-BE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
nl-BE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
nl-BE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
nn	short	HH:mm	datetime.time.hm_24h	24h without seconds
nn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
nn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
nn	full	'kl'. HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
pl	short	HH:mm	datetime.time.hm_24h	24h without seconds
pl	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
pl	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
pl	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
pt	short	HH:mm	datetime.time.hm_24h	24h without seconds
pt	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
pt	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
pt	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ro	short	HH:mm	datetime.time.hm_24h	24h without seconds
ro	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ro	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ro	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ru	short	HH:mm	datetime.time.hm_24h	24h without seconds
ru	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ru	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ru	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
sk	short	H:mm	datetime.time.hm_24h	24h without seconds
sk	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
sk	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
sk	full	H:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
sl	short	HH:mm	datetime.time.hm_24h	24h without seconds
sl	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
sl	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
sl	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
sr-Latn	short	HH:mm	datetime.time.hm_24h	24h without seconds
sr-Latn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
sr-Latn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
sr-Latn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
sv	short	HH:mm	datetime.time.hm_24h	24h without seconds
sv	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
sv	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
sv	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
tr	short	HH:mm	datetime.time.hm_24h	24h without seconds
tr	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
tr	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
tr	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
uk	short	HH:mm	datetime.time.hm_24h	24h without seconds
uk	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
uk	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
uk	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
aa	short	h:mm a	datetime.time.hm_12h	12h without seconds
aa	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
aa	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
aa	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
aa-DJ	short	h:mm a	datetime.time.hm_12h	12h without seconds
aa-DJ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
aa-DJ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
aa-DJ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
aa-ER	short	h:mm a	datetime.time.hm_12h	12h without seconds
aa-ER	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
aa-ER	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
aa-ER	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ab	short	HH:mm	datetime.time.hm_24h	24h without seconds
ab	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ab	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ab	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
af	short	HH:mm	datetime.time.hm_24h	24h without seconds
af	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
af	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
af	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
af-NA	short	h:mm a	datetime.time.hm_12h	12h without seconds
af-NA	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
af-NA	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
af-NA	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
agq	short	HH:mm	datetime.time.hm_24h	24h without seconds
agq	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
agq	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
agq	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ak	short	h:mm a	datetime.time.hm_12h	12h without seconds
ak	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ak	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ak	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
am	short	h:mm a	datetime.time.hm_12h	12h without seconds
am	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
am	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
am	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
an	short	HH:mm	datetime.time.hm_24h	24h without seconds
an	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
an	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
an	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ann	short	HH:mm	datetime.time.hm_24h	24h without seconds
ann	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ann	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ann	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
apc	short	HH:mm	datetime.time.hm_24h	24h without seconds
apc	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
apc	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
apc	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ar-AE	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-AE	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-AE	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-AE	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-BH	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-BH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-BH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-BH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-DJ	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-DJ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-DJ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-DJ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-DZ	short	h:mm a	datetime.time.hm_12h	12h without seconds
