locale	length	ldml_pattern	finetype_type	note
bal-Latn	long	hh:mm:ss a zzz	datetime.time.hms_12h	12h with seconds
bal-Latn	full	hh:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
bas	short	HH:mm	datetime.time.hm_24h	24h without seconds
bas	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bas	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bas	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
be	short	HH:mm	datetime.time.hm_24h	24h without seconds
be	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
be	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
be	full	HH:mm:ss, zzzz	datetime.time.hms_24h	24h with seconds
be-tarask	short	HH:mm	datetime.time.hm_24h	24h without seconds
be-tarask	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
be-tarask	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
be-tarask	full	HH:mm:ss, zzzz	datetime.time.hms_24h	24h with seconds
bem	short	h:mm a	datetime.time.hm_12h	12h without seconds
bem	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
bem	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
bem	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
bew	short	HH:mm	datetime.time.hm_24h	24h without seconds
bew	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bew	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bew	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bez	short	HH:mm	datetime.time.hm_24h	24h without seconds
bez	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bez	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bez	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bgc	short	h:mm a	datetime.time.hm_12h	12h without seconds
bgc	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
bgc	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
bgc	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
bgn	short	HH:mm	datetime.time.hm_24h	24h without seconds
bgn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bgn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bgn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bgn-AE	short	HH:mm	datetime.time.hm_24h	24h without seconds
bgn-AE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bgn-AE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bgn-AE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bgn-AF	short	HH:mm	datetime.time.hm_24h	24h without seconds
bgn-AF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bgn-AF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bgn-AF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bgn-IR	short	HH:mm	datetime.time.hm_24h	24h without seconds
bgn-IR	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bgn-IR	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bgn-IR	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bgn-OM	short	HH:mm	datetime.time.hm_24h	24h without seconds
bgn-OM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bgn-OM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bgn-OM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bho	short	h:mm a	datetime.time.hm_12h	12h without seconds
bho	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
bho	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
bho	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
blo	short	HH:mm	datetime.time.hm_24h	24h without seconds
blo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
blo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
blo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
blt	short	HH:mm	datetime.time.hm_24h	24h without seconds
blt	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
blt	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
blt	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bm	short	HH:mm	datetime.time.hm_24h	24h without seconds
bm	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bm	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bm	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bm-Nkoo	short	HH:mm	datetime.time.hm_24h	24h without seconds
bm-Nkoo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bm-Nkoo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bm-Nkoo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bn	short	h:mm a	datetime.time.hm_12h	12h without seconds
bn	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
bn	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
bn	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
bn-IN	short	h:mm a	datetime.time.hm_12h	12h without seconds
bn-IN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
bn-IN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
bn-IN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
bo	short	HH:mm	datetime.time.hm_24h	24h without seconds
bo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bo-IN	short	h:mm a	datetime.time.hm_12h	12h without seconds
bo-IN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
bo-IN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
bo-IN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
br	short	HH:mm	datetime.time.hm_24h	24h without seconds
br	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
br	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
br	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
brx	short	a नि h:mm	datetime.time.hm_12h	12h without seconds
brx	medium	a h:mm:ss	datetime.time.hms_12h	12h with seconds
brx	long	a h:mm:ss z	datetime.time.hms_12h	12h with seconds
brx	full	a h:mm:ss zzzz	datetime.time.hms_12h	12h with seconds
bs	short	HH:mm	datetime.time.hm_24h	24h without seconds
bs	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bs	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bs	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bs-Cyrl	short	HH:mm	datetime.time.hm_24h	24h without seconds
bs-Cyrl	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bs-Cyrl	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bs-Cyrl	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bs-Latn	short	HH:mm	datetime.time.hm_24h	24h without seconds
bs-Latn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bs-Latn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bs-Latn	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
bss	short	HH:mm	datetime.time.hm_24h	24h without seconds
bss	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
bss	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
bss	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
byn	short	HH:mm	datetime.time.hm_24h	24h without seconds
byn	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
byn	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
byn	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ca	short	H:mm	datetime.time.hm_24h	24h without seconds
ca	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
ca	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
ca	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
ca-AD	short	H:mm	datetime.time.hm_24h	24h without seconds
ca-AD	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
ca-AD	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
ca-AD	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
ca-ES-valencia	short	H:mm	datetime.time.hm_24h	24h without seconds
ca-ES-valencia	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
ca-ES-valencia	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
ca-ES-valencia	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
ca-FR	short	H:mm	datetime.time.hm_24h	24h without seconds
ca-FR	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
ca-FR	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
ca-FR	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
ca-IT	short	H:mm	datetime.time.hm_24h	24h without seconds
ca-IT	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
ca-IT	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
ca-IT	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
cad	short	HH:mm	datetime.time.hm_24h	24h without seconds
cad	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cad	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cad	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
cch	short	HH:mm	datetime.time.hm_24h	24h without seconds
cch	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cch	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cch	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ccp	short	h:mm a	datetime.time.hm_12h	12h without seconds
ccp	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ccp	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ccp	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ccp-IN	short	h:mm a	datetime.time.hm_12h	12h without seconds
ccp-IN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ccp-IN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ccp-IN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ce	short	HH:mm	datetime.time.hm_24h	24h without seconds
ce	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ce	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ce	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ceb	short	h:mm a	datetime.time.hm_12h	12h without seconds
ceb	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ceb	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ceb	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
cgg	short	HH:mm	datetime.time.hm_24h	24h without seconds
cgg	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cgg	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cgg	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
cho	short	HH:mm	datetime.time.hm_24h	24h without seconds
cho	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cho	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cho	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
chr	short	h:mm a	datetime.time.hm_12h	12h without seconds
chr	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
chr	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
chr	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
cic	short	HH:mm	datetime.time.hm_24h	24h without seconds
cic	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cic	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cic	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ckb	short	h:mm a	datetime.time.hm_12h	12h without seconds
ckb	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ckb	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ckb	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ckb-IR	short	HH:mm	datetime.time.hm_24h	24h without seconds
ckb-IR	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ckb-IR	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ckb-IR	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
co	short	HH:mm	datetime.time.hm_24h	24h without seconds
co	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
co	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
co	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
csw	short	h:mm a	datetime.time.hm_12h	12h without seconds
csw	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
csw	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
csw	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
cu	short	HH:mm	datetime.time.hm_24h	24h without seconds
cu	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cu	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cu	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
cv	short	HH:mm	datetime.time.hm_24h	24h without seconds
cv	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cv	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cv	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
cy	short	HH:mm	datetime.time.hm_24h	24h without seconds
cy	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
cy	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
cy	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
da-GL	short	HH.mm	datetime.time.hm_24h	24h without seconds
da-GL	medium	HH.mm.ss	datetime.time.hms_24h	24h with seconds
da-GL	long	HH.mm.ss z	datetime.time.hms_24h	24h with seconds
da-GL	full	HH.mm.ss zzzz	datetime.time.hms_24h	24h with seconds
dav	short	HH:mm	datetime.time.hm_24h	24h without seconds
dav	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
dav	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
dav	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
de-BE	short	HH:mm	datetime.time.hm_24h	24h without seconds
de-BE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de-BE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de-BE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
de-IT	short	HH:mm	datetime.time.hm_24h	24h without seconds
de-IT	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de-IT	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de-IT	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
de-LI	short	HH:mm	datetime.time.hm_24h	24h without seconds
de-LI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de-LI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de-LI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
de-LU	short	HH:mm	datetime.time.hm_24h	24h without seconds
de-LU	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de-LU	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de-LU	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
dje	short	HH:mm	datetime.time.hm_24h	24h without seconds
dje	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
dje	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
dje	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
doi	short	h:mm a	datetime.time.hm_12h	12h without seconds
doi	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
doi	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
doi	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
dsb	short	H:mm	datetime.time.hm_24h	24h without seconds
dsb	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
dsb	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
dsb	full	H:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
dua	short	HH:mm	datetime.time.hm_24h	24h without seconds
dua	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
dua	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
dua	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
dv	short	HH:mm	datetime.time.hm_24h	24h without seconds
dv	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
dv	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
dv	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
dyo	short	HH:mm	datetime.time.hm_24h	24h without seconds
dyo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
dyo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
dyo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
dz	short	ཆུ་ཚོད་ h སྐར་མ་ mm a	datetime.time.hm_12h	12h without seconds
dz	medium	ཆུ་ཚོད་h:mm:ss a	datetime.time.hms_12h	12h with seconds
dz	long	ཆུ་ཚོད་ h སྐར་མ་ mm:ss a z	datetime.time.hms_12h	12h with seconds
dz	full	ཆུ་ཚོད་ h སྐར་མ་ mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ebu	short	HH:mm	datetime.time.hm_24h	24h without seconds
ebu	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ebu	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ebu	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ee	short	a 'ga' h:mm	datetime.time.hm_12h	12h without seconds
ee	medium	a 'ga' h:mm:ss	datetime.time.hms_12h	12h with seconds
ee	long	a 'ga' h:mm:ss z	datetime.time.hms_12h	12h with seconds
ee	full	a 'ga' h:mm:ss zzzz	datetime.time.hms_12h	12h with seconds
ee-TG	short	HH:mm	datetime.time.hm_24h	24h without seconds
ee-TG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ee-TG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ee-TG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
el-CY	short	h:mm a	datetime.time.hm_12h	12h without seconds
el-CY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
el-CY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
el-CY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
el-polyton	short	h:mm a	datetime.time.hm_12h	12h without seconds
el-polyton	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
el-polyton	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
el-polyton	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-001	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-001	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-001	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-001	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-150	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-150	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-150	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-150	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-AE	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-AE	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-AE	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-AE	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-AG	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-AG	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-AG	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-AG	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-AI	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-AI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-AI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-AI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-AS	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-AS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-AS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-AS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-AT	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-AT	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-AT	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-AT	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-BB	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-BB	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-BB	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-BB	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-BE	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-BE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-BE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-BE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-BI	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-BI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-BI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-BI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-BM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-BM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-BM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-BM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-BS	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-BS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-BS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-BS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-BW	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-BW	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-BW	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-BW	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-BZ	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-BZ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-BZ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-BZ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-CC	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-CC	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-CC	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-CC	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-CH	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-CH	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-CH	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-CH	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-CK	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-CK	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-CK	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-CK	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-CM	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-CM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-CM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-CM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-CX	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-CX	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-CX	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-CX	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-CY	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-CY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-CY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-CY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-DE	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-DE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-DE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-DE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-DG	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-DG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-DG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-DG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-DK	short	HH.mm	datetime.time.hm_24h	24h without seconds
en-DK	medium	HH.mm.ss	datetime.time.hms_24h	24h with seconds
en-DK	long	HH.mm.ss z	datetime.time.hms_24h	24h with seconds
en-DK	full	HH.mm.ss zzzz	datetime.time.hms_24h	24h with seconds
en-DM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-DM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-DM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-DM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-Dsrt	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-Dsrt	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-Dsrt	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-Dsrt	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-ER	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-ER	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-ER	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-ER	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-FI	short	H.mm	datetime.time.hm_24h	24h without seconds
en-FI	medium	H.mm.ss	datetime.time.hms_24h	24h with seconds
en-FI	long	H.mm.ss z	datetime.time.hms_24h	24h with seconds
en-FI	full	H.mm.ss zzzz	datetime.time.hms_24h	24h with seconds
en-FJ	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-FJ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-FJ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-FJ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-FK	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-FK	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-FK	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-FK	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-FM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-FM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-FM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
