locale	width	mon	tue	wed	thu	fri	sat	sun
csw	wide	ᐴᓂ ᐊᔭᒥᐦᐁᑮᓯᑳᐤ	ᓃᓱᑮᓯᑳᐤ	ᐋᐱᐦᑕᐘᐣ	ᐴᓂᐋᐱᐦᑕᐘᐣ	ᑫᑳᐨ ᒫᑎᓇᐍᑮᓯᑳᐤ	ᒫᑎᓇᐍᑮᓯᑳᐤ	ᐊᔭᒥᐦᐁᑮᓯᑳᐤ
csw	abbreviated	ᐴᓂ ᐊᔭᒥᐦᐁᑮᓯᑳᐤ	ᓃᓱᑮᓯᑳᐤ	ᐋᐱᐦᑕᐘᐣ	ᐴᓂᐋᐱᐦᑕᐘᐣ	ᑫᑳᐨ ᒫᑎᓇᐍᑮᓯᑳᐤ	ᒫᑎᓇᐍᑮᓯᑳᐤ	ᐊᔭᒥᐦᐁᑮᓯᑳᐤ
cu	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
cu	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
cv	wide	тунтикун	ытларикун	юнкун	кӗҫнерникун	эрнекун	шӑматкун	вырсарникун
cv	abbreviated	тун.	ытл.	юн.	кӗҫ.	эр.	шӑм.	выр.
cy	wide	Dydd Llun	Dydd Mawrth	Dydd Mercher	Dydd Iau	Dydd Gwener	Dydd Sadwrn	Dydd Sul
cy	abbreviated	Llun	Maw	Mer	Iau	Gwen	Sad	Sul
da-GL	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
da-GL	abbreviated	man.	tirs.	ons.	tors.	fre.	lør.	søn.
dav	wide	Kuramuka jimweri	Kuramuka kawi	Kuramuka kadadu	Kuramuka kana	Kuramuka kasanu	Kifula nguwo	Ituku ja jumwa
dav	abbreviated	Jim	Kaw	Kad	Kan	Kas	Ngu	Jum
de-BE	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-BE	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-IT	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-IT	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-LI	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-LI	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-LU	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-LU	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
dje	wide	Atinni	Atalaata	Alarba	Alhamisi	Alzuma	Asibti	Alhadi
dje	abbreviated	Ati	Ata	Ala	Alm	Alz	Asi	Alh
doi	wide	सोमबार	मंगलबार	बुधबार	बीरबार	शुक्रबार	शनिबार	ऐतबार
doi	abbreviated	सोम	मंगल	बुध	बीर	शुक्र	शनि	ऐत
dsb	wide	pónjeźele	wałtora	srjoda	stwórtk	pětk	sobota	njeźela
dsb	abbreviated	pón	wał	srj	stw	pět	sob	nje
dua	wide	mɔ́sú	kwasú	mukɔ́sú	ŋgisú	ɗónɛsú	esaɓasú	éti
dua	abbreviated	mɔ́s	kwa	muk	ŋgi	ɗón	esa	ét
dv	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
dv	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
dyo	wide	Teneŋ	Talata	Alarbay	Aramisay	Arjuma	Sibiti	Dimas
dyo	abbreviated	Ten	Tal	Ala	Ara	Arj	Sib	Dim
dz	wide	གཟའ་མིག་དམར་	གཟའ་ལྷག་པ་	གཟའ་ཕུར་བུ་	གཟའ་པ་སངས་	གཟའ་སྤེན་པ་	གཟའ་ཉི་མ་	གཟའ་ཟླ་བ་
dz	abbreviated	མིར་	ལྷག་	ཕུར་	སངས་	སྤེན་	ཉི་	ཟླ་
ebu	wide	Njumatatu	Njumaine	Njumatano	Aramithi	Njumaa	NJumamothii	Kiumia
ebu	abbreviated	Tat	Ine	Tan	Arm	Maa	NMM	Kma
ee	wide	dzoɖa	blaɖa	kuɖa	yawoɖa	fiɖa	memleɖa	kɔsiɖa
ee	abbreviated	dzo	bla	kuɖ	yaw	fiɖ	mem	kɔs
ee-TG	wide	dzoɖa	blaɖa	kuɖa	yawoɖa	fiɖa	memleɖa	kɔsiɖa
ee-TG	abbreviated	dzo	bla	kuɖ	yaw	fiɖ	mem	kɔs
el-CY	wide	Δευτέρα	Τρίτη	Τετάρτη	Πέμπτη	Παρασκευή	Σάββατο	Κυριακή
el-CY	abbreviated	Δευ	Τρί	Τετ	Πέμ	Παρ	Σάβ	Κυρ
el-polyton	wide	Δευτέρα	Τρίτη	Τετάρτη	Πέμπτη	Παρασκευή	Σάββατο	Κυριακή
el-polyton	abbreviated	Δευ	Τρί	Τετ	Πέμ	Παρ	Σάβ	Κυρ
en-001	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-001	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-150	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-150	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AS	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AS	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AT	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AT	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BB	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BB	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BS	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BS	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BW	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BW	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-BZ	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-BZ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CC	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CC	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CH	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CH	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CK	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CK	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CX	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CX	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CY	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CY	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-DE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-DE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-DG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-DG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-DK	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-DK	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-DM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-DM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-Dsrt	wide	𐐣𐐲𐑌𐐼𐐩	𐐓𐐭𐑆𐐼𐐩	𐐎𐐯𐑌𐑆𐐼𐐩	𐐛𐐲𐑉𐑆𐐼𐐩	𐐙𐑉𐐴𐐼𐐩	𐐝𐐰𐐻𐐲𐑉𐐼𐐩	𐐝𐐲𐑌𐐼𐐩
en-Dsrt	abbreviated	𐐣𐐲𐑌	𐐓𐐭𐑆	𐐎𐐯𐑌	𐐛𐐲𐑉	𐐙𐑉𐐴	𐐝𐐰𐐻	𐐝𐐲𐑌
en-ER	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-ER	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-FI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-FI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-FJ	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-FJ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-FK	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-FK	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-FM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-FM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GD	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GD	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GH	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GH	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GU	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GU	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GY	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GY	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-HK	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-HK	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-ID	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-ID	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-IL	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-IL	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-IM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-IM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-IN	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-IN	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-IO	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-IO	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-JE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-JE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-JM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-JM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-KE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-KE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-KI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-KI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-KN	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-KN	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-KY	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-KY	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-LC	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-LC	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-LR	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-LR	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-LS	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-LS	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MH	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MH	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MO	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MO	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MP	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MP	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MS	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MS	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MT	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MT	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MU	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MU	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MV	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MV	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MW	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MW	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-MY	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-MY	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NA	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NA	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NF	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NF	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NL	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NL	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NR	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NR	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NU	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NU	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-PG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-PG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-PH	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-PH	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-PK	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-PK	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-PN	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-PN	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-PR	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-PR	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-PW	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-PW	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-RW	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-RW	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SB	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SB	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SC	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SC	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SD	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SD	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SH	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SH	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SL	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SL	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SS	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SS	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SX	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SX	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-SZ	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-SZ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-Shaw	wide	·𐑥𐑭𐑙𐑛𐑱	·𐑑𐑵𐑟𐑛𐑱	·𐑢𐑧𐑙𐑟𐑛𐑱	·𐑔𐑻𐑟𐑛𐑱	·𐑓𐑮𐑲𐑛𐑱	·𐑕𐑨𐑛𐑻𐑛𐑱	·𐑕𐑭𐑙𐑛𐑱
en-Shaw	abbreviated	·𐑥𐑭	·𐑑𐑵	·𐑢𐑧	·𐑔𐑻	·𐑓𐑮	·𐑕𐑨	·𐑕𐑭
en-TC	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-TC	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-TK	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-TK	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-TO	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-TO	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-TT	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-TT	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-TV	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-TV	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-TZ	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-TZ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-UG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-UG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-UM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-UM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-VC	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-VC	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-VG	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-VG	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-VI	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-VI	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-VU	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-VU	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-WS	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-WS	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-ZM	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-ZM	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-ZW	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-ZW	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
eo	wide	lundo	mardo	merkredo	ĵaŭdo	vendredo	sabato	dimanĉo
eo	abbreviated	lu	ma	me	ĵa	ve	sa	di
es-419	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-419	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-BO	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-BO	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-BR	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-BR	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-BZ	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-BZ	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-CL	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-CL	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-CR	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-CR	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-CU	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-CU	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-DO	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-DO	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-EA	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-EA	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-EC	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-EC	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-GQ	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-GQ	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-GT	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-GT	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-HN	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-HN	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-IC	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-IC	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-NI	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-NI	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-PA	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-PA	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-PE	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-PE	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-PH	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-PH	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-PR	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-PR	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-PY	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-PY	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-SV	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-SV	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-US	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-US	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-UY	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-UY	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-VE	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-VE	abbreviated	lun	mar	mié	jue	vie	sáb	dom
eu	wide	astelehena	asteartea	asteazkena	osteguna	ostirala	larunbata	igandea
eu	abbreviated	al.	ar.	az.	og.	or.	lr.	ig.
ewo	wide	mɔ́ndi	sɔ́ndɔ məlú mə́bɛ̌	sɔ́ndɔ məlú mə́lɛ́	sɔ́ndɔ məlú mə́nyi	fúladé	séradé	sɔ́ndɔ
ewo	abbreviated	mɔ́n	smb	sml	smn	fúl	sér	sɔ́n
fa	wide	دوشنبه	سه‌شنبه	چهارشنبه	پنجشنبه	جمعه	شنبه	یکشنبه
fa	abbreviated	دوشنبه	سه‌شنبه	چهارشنبه	پنجشنبه	جمعه	شنبه	یکشنبه
fa-AF	wide	دوشنبه	سه‌شنبه	چهارشنبه	پنجشنبه	جمعه	شنبه	یکشنبه
fa-AF	abbreviated	دوشنبه	سه‌شنبه	چهارشنبه	پنجشنبه	جمعه	شنبه	یکشنبه
ff	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Adlm	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
