locale	length	ldml_pattern	normalized	finetype_type	note
en-BE	medium	dd MMM y	dd MMM y	datetime.date.abbreviated_month	abbreviated month
en-BE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-BE	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-BI	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en-BI	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-BI	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-BI	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-BM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-BM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-BM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-BM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-BS	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-BS	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-BS	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-BS	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-BW	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
en-BW	medium	dd MMM y	dd MMM y	datetime.date.abbreviated_month	abbreviated month
en-BW	long	dd MMMM y	dd MMMM y	datetime.date.long_full_month	full month
en-BW	full	EEEE, dd MMMM y	EEEE, dd MMMM y	datetime.date.weekday_full_month	weekday + full month
en-BZ	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
en-BZ	medium	dd-MMM-y	dd-MMM-y	datetime.date.abbreviated_month	abbreviated month
en-BZ	long	dd MMMM y	dd MMMM y	datetime.date.long_full_month	full month
en-BZ	full	EEEE, dd MMMM y	EEEE, dd MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CC	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-CC	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-CC	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-CC	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CH	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
en-CH	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-CH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-CH	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CK	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-CK	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-CK	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-CK	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-CM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-CM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-CM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CX	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-CX	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-CX	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-CX	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CY	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-CY	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-CY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-CY	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-DE	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-DE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-DE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-DE	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-DG	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-DG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-DG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-DG	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-DK	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-DK	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-DK	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-DK	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-DM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-DM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-DM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-DM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-Dsrt	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
en-Dsrt	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
en-Dsrt	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
en-Dsrt	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
en-ER	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-ER	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-ER	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-ER	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-FI	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-FI	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-FI	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-FI	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-FJ	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-FJ	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-FJ	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-FJ	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-FK	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-FK	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-FK	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-FK	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-FM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-FM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-FM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-FM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-GD	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GD	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GD	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GD	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-GG	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GG	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-GH	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GH	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GH	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-GI	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GI	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GI	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GI	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-GM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-GU	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en-GU	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-GU	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-GU	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-GY	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GY	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GY	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-HK	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
en-HK	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-HK	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-HK	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-ID	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-ID	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-ID	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-ID	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-IL	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-IL	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-IL	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-IL	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-IM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-IM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-IM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-IM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-IN	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
en-IN	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-IN	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-IN	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-IO	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-IO	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-IO	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-IO	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-JE	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-JE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-JE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-JE	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-JM	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-JM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-JM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-JM	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-KE	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-KE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-KE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-KE	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-KI	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-KI	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-KI	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-KI	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-KN	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-KN	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-KN	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-KN	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-KY	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-KY	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-KY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-KY	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-LC	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-LC	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-LC	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-LC	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-LR	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-LR	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-LR	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-LR	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-LS	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-LS	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-LS	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-LS	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MG	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-MG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MG	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MH	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en-MH	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-MH	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-MH	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-MO	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MO	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-MO	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MO	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MP	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en-MP	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-MP	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-MP	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-MS	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MS	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-MS	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MS	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MT	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MT	medium	dd MMM y	dd MMM y	datetime.date.abbreviated_month	abbreviated month
en-MT	long	dd MMMM y	dd MMMM y	datetime.date.long_full_month	full month
en-MT	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MU	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MU	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-MU	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MU	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MV	short	d-M-yy	d-M-yy	datetime.date.eu_slash	DMY dash (eu_slash variant)
en-MV	medium	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
en-MV	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MV	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MW	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MW	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-MW	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MW	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-MY	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-MY	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-MY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-MY	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NA	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NA	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NA	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NA	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NF	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NF	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NF	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NF	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NG	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NG	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NL	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NL	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NL	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NL	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NR	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NR	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NR	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NR	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NU	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NU	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NU	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NU	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-PG	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-PG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-PG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-PG	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-PH	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en-PH	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-PH	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-PH	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-PK	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-PK	medium	dd-MMM-y	dd-MMM-y	datetime.date.abbreviated_month	abbreviated month
en-PK	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-PK	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-PN	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-PN	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-PN	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-PN	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-PR	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en-PR	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-PR	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-PR	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-PW	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-PW	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-PW	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-PW	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-RW	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-RW	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-RW	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-RW	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SB	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SB	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SB	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SB	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SC	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SC	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SC	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SC	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SD	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SD	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SD	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SD	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SE	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
en-SE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SE	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SG	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
en-SG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SG	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SH	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SH	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SH	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SI	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SI	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SI	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SI	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SL	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SL	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SL	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SL	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SS	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SS	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SS	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SS	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SX	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SX	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SX	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SX	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-SZ	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-SZ	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-SZ	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-SZ	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-Shaw	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
en-Shaw	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
en-Shaw	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
en-Shaw	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
en-TC	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-TC	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-TC	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-TC	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-TK	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-TK	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-TK	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-TK	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
